symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason,entry_conditions
DCE.pp2605,2026-03-20 22:00:00,9316.0,2026-03-23 22:45:00,9385.0,8955.00,3,1380.00,0.74%,移动止损 (前前绿柱堆 K 线低点:9385.00),60m 底背离确认 (低:8462.00→8762.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2025-12-16 09:20:00.000000,6264.0,2025-12-16 10:10:00.000000,6247.0,6247.00,1,-510.00,-0.27%,初始止损 (5分钟前前绿柱堆 K 线低点:6247.00),红柱堆底部抬升 (绿柱低:6168.00→红柱拐头低:6235.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605F,2025-12-17 11:25:00.000000,6256.0,2025-12-17 14:40:00.000000,6250.0,6250.00,1,-180.00,-0.10%,初始止损 (5分钟前前绿柱堆 K 线低点:6250.00),红柱堆底部抬升 (绿柱低:6168.00→红柱拐头低:6228.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605F,2025-12-26 13:30:00.000000,6221.0,2025-12-29 21:45:00.000000,6285.0,6215.00,4,1920.00,1.03%,移动止损 (前前绿柱堆 K 线低点:6285.00),60m 底背离确认 (低:6103.00→6202.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2025-12-30 09:05:00.000000,6301.0,2026-01-05 13:40:00.000000,6325.0,6285.00,4,720.00,0.38%,初始止损 (5分钟前前绿柱堆 K 线低点:6285.00),60m 底背离确认 (低:6202.00→6275.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-05 21:00:00.000000,6367.0,2026-01-07 22:40:00.000000,6484.0,6335.00,4,3510.00,1.84%,初始止损 (5分钟前前绿柱堆 K 线低点:6335.00),60m 底背离确认 (低:6275.00→6315.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-09 10:10:00.000000,6510.0,2026-01-09 14:30:00.000000,6506.0,6466.00,3,-120.00,-0.06%,初始止损 (5分钟前前绿柱堆 K 线低点:6466.00),60m 底背离确认 (低:6369.00→6443.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-12 10:05:00.000000,6527.0,2026-01-12 22:20:00.000000,6515.0,6443.00,3,-360.00,-0.18%,初始止损 (5分钟前前绿柱堆 K 线低点:6443.00),60m 底背离确认 (低:6369.00→6443.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-13 09:25:00.000000,6556.0,2026-01-13 13:35:00.000000,6536.0,6536.00,1,-600.00,-0.31%,初始止损 (5分钟前前绿柱堆 K 线低点:6536.00),60m 底背离确认 (低:6443.00→6506.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-13 21:55:00.000000,6567.0,2026-01-15 13:30:00.000000,6559.0,6506.00,3,-240.00,-0.12%,初始止损 (5分钟前前绿柱堆 K 线低点:6506.00),60m 底背离确认 (低:6506.00→6528.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-26 14:15:00.000000,6725.0,2026-01-26 21:15:00.000000,6699.0,6699.00,1,-650.00,-0.39%,初始止损 (5分钟前前绿柱堆 K 线低点:6699.00),红柱堆底部抬升 (绿柱低:6429.00→红柱拐头低:6699.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-27 21:10:00.000000,6729.0,2026-01-30 09:05:00.000000,6865.0,6670.00,7,3400.00,2.02%,初始止损 (5分钟前前绿柱堆 K 线低点:6670.00),60m 底背离确认 (低:6429.00→6656.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-01-30 22:00:00.000000,6852.0,2026-02-02 09:00:00.000000,6824.0,6824.00,1,-700.00,-0.41%,初始止损 (5分钟前前绿柱堆 K 线低点:6824.00),60m 底背离确认 (低:6656.00→6675.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-02-03 14:55:00.000000,6731.0,2026-02-04 21:00:00.000000,6783.0,6725.00,3,1300.00,0.77%,初始止损 (5分钟前前绿柱堆 K 线低点:6725.00),60m 底背离确认 (低:6656.00→6675.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-02-09 09:10:00.000000,6658.0,2026-02-09 21:10:00.000000,6649.0,6614.00,3,-270.00,-0.14%,移动止损 (前前绿柱堆 K 线低点:6649.00),60m 底背离确认 (低:6609.00→6649.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
DCE.pp2605F,2026-02-25 21:05:00.000000,6750.0,2026-02-26 10:30:00.000000,6715.0,6715.00,1,-875.00,-0.52%,初始止损 (5分钟前前绿柱堆 K 线低点:6715.00),红柱堆底部抬升 (绿柱低:6555.00→红柱拐头低:6714.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
DCE.pp2605F,2026-02-27 21:00:00.000000,6700.0,2026-03-05 22:10:00.000000,7531.0,6555.00,10,20775.00,12.40%,移动止损 (前前绿柱堆 K 线低点:7531.00),60m 底背离确认 (低:6555.00→6555.00 持平) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
