symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
DCE.v2605,2026-01-27 14:25:00.000000,4910.0,2026-01-27 14:30:00.000000,4928.0,4928.00,1,360.00,0.37%,初始止损 (前前绿柱堆间 K 线低点:4928.00)
DCE.v2605,2026-02-02 22:20:00.000000,5094.0,2026-02-02 22:25:00.000000,5094.0,5094.00,1,0.00,0.00%,初始止损 (前前绿柱堆间 K 线低点:5094.00)
DCE.v2605,2026-03-11 21:05:00,5726.0,2026-03-12 14:25:00,5645.0,5190.00,2,-1215.00,-1.41%,初始止损 (前前绿柱堆间 K 线低点:5190.00)
DCE.v2605F,2025-12-22 21:00:00.000000,4669.0,2025-12-23 11:25:00.000000,4696.0,4580.00,4,540.00,0.58%,移动止损 (前前绿柱堆间 K 线低点:4696.00)
DCE.v2605F,2026-01-05 21:00:00.000000,4856.0,2026-01-07 21:10:00.000000,4950.0,4745.00,6,1880.00,1.94%,初始止损 (前前绿柱堆间 K 线低点:4745.00)
DCE.v2605F,2026-01-19 22:00:00.000000,4810.0,2026-01-20 11:20:00.000000,4803.0,4768.00,3,-140.00,-0.15%,移动止损 (前前绿柱堆间 K 线低点:4803.00)
DCE.v2605F,2026-02-24 10:05:00.000000,4887.0,2026-02-24 10:10:00.000000,4900.0,4900.00,1,260.00,0.27%,初始止损 (前前绿柱堆间 K 线低点:4900.00)
DCE.v2605F,2026-03-04 14:55:00.000000,4994.0,2026-03-04 21:00:00.000000,4926.0,4926.00,1,-1360.00,-1.36%,初始止损 (前前绿柱堆间 K 线低点:4926.00)
DCE.v2605F,2026-03-11 14:00:00.000000,5489.0,2026-03-12 11:05:00.000000,5768.0,5076.00,4,4185.00,5.08%,初始止损 (前前绿柱堆间 K 线低点:5076.00)
DCE.y2605,2025-12-02 14:30:00.000000,8100.0,2025-12-02 21:20:00.000000,8060.0,8060.00,1,-400.00,-0.49%,初始止损 (前前绿柱堆间 K 线低点:8060.00)
DCE.y2605,2025-12-30 13:35:00.000000,7874.0,2025-12-31 10:00:00.000000,7832.0,7832.00,1,-420.00,-0.53%,初始止损 (前前绿柱堆间 K 线低点:7832.00)
DCE.y2605,2026-01-23 22:00:00.000000,8162.0,2026-01-26 21:30:00.000000,8180.0,8084.00,4,180.00,0.22%,初始止损 (前前绿柱堆间 K 线低点:8084.00)
DCE.y2605,2026-02-06 10:10:00.000000,8108.0,2026-02-06 10:40:00.000000,8106.0,8106.00,1,-20.00,-0.02%,初始止损 (前前绿柱堆间 K 线低点:8106.00)
DCE.y2605,2026-02-11 13:50:00.000000,8116.0,2026-02-11 14:40:00.000000,8100.0,8100.00,1,-160.00,-0.20%,初始止损 (前前绿柱堆间 K 线低点:8100.00)
DCE.y2605,2026-02-24 10:00:00,8166.0,2026-02-26 09:10:00,8218.0,8052.00,5,520.00,0.64%,移动止损 (前前绿柱堆间 K 线低点:8218.00)
DCE.y2605,2026-03-02 22:00:00,8306.0,2026-03-04 10:35:00,8344.0,8240.00,4,380.00,0.46%,初始止损 (前前绿柱堆间 K 线低点:8240.00)
DCE.y2605,2026-03-06 09:10:00,8418.0,2026-03-06 14:10:00,8412.0,8348.00,4,-60.00,-0.07%,初始止损 (前前绿柱堆间 K 线低点:8348.00)
DCE.y2605,2026-03-11 21:10:00,8670.0,2026-03-12 14:55:00,8626.0,8506.00,2,-440.00,-0.51%,回测结束
GFEX.lc2605,2025-09-29 14:15:00.000000,74180.0,2025-09-30 09:55:00.000000,73900.0,72880.00,3,-280.00,-0.38%,移动止损 (前前绿柱堆间 K 线低点:73900.00)
GFEX.lc2605,2025-10-10 09:15:00.000000,74120.0,2025-10-10 09:35:00.000000,73580.0,73580.00,1,-540.00,-0.73%,初始止损 (前前绿柱堆间 K 线低点:73580.00)
GFEX.lc2605,2025-10-15 14:15:00.000000,73480.0,2025-10-20 09:15:00.000000,76320.0,73380.00,5,2840.00,3.86%,移动止损 (前前绿柱堆间 K 线低点:76320.00)
GFEX.lc2605,2025-10-21 14:45:00.000000,76040.0,2025-10-28 09:15:00.000000,82060.0,75820.00,12,6020.00,7.92%,移动止损 (前前绿柱堆间 K 线低点:82060.00)
GFEX.lc2605,2025-10-30 10:00:00.000000,83620.0,2025-10-30 13:30:00.000000,83500.0,81400.00,3,-120.00,-0.14%,初始止损 (前前绿柱堆间 K 线低点:81400.00)
